title,price,location,society,bedrooms,bathrooms,size,rating,url,contact_info,description,listing_date,source_file
10 Marla Luxurious House for Sale in M Block WAPDA City,PKR 3.65 Crore,"Wapda City - Block M, Wapda City",Wapda City,4,5,10 Marla,Titanium,https://www.zameen.com/Property/wapda_city_wapda_city_-_block_m_10_marla_luxurious_house_for_sale_in_m_block_wapda_city-53144777-5077-1.html,"Phone Available, WhatsApp Available, Email Available",Your best investment could be in Ho,Added: 1 day ago,house-1.html
"10 Marla House For Sale Near 50 Feet Wide Road WAPDA City, Block A Faisalabad",PKR 3.15 Crore,"Wapda City, Faisalabad",Faisalabad,5,5,10 Marla,N/A,https://www.zameen.com/Property/faisalabad_wapda_city_10_marla_house_for_sale_near_50_feet_wide_road_wapda_city_block_a_faisalabad-53144407-501-1.html,"Phone Available, WhatsApp Available, Email Available","10 Marla House for Sale WAPDA City,",Added: 1 day ago,house-10.html
5 Marla Ultra Modern Designer House For Sale In Eden Valley at Prime location,PKR 2.8 Crore,"Eden Valley, Faisalabad",Faisalabad,3,4,5 Marla,N/A,https://www.zameen.com/Property/faisalabad_eden_valley_5_marla_ultra_modern_designer_house_for_sale_in_eden_valley_at_prime_location-52858083-8917-1.html,"Phone Available, WhatsApp Available, Email Available",5 Marla Ultra Modern Designer House,Added: 2 days ago,house-100.html
5 Mala Brand New Luxurious House For Sale. . . .,PKR 2.3 Crore,"Eden Executive, Eden Gardens",Eden Gardens,3,4,5 Marla,N/A,https://www.zameen.com/Property/eden_gardens_eden_executive_5_mala_brand_new_luxurious_house_for_sale-52969365-10765-1.html,"Phone Available, WhatsApp Available, Email Available","LUXURY HOME SERIES
 5 Mala Brand Ne",Added: 1 month ago,house-1000.html
Brand New Vip Luxury Designer House,PKR 2.5 Crore,"Eden Orchard, Faisalabad",Faisalabad,3,4,5 Marla,N/A,https://www.zameen.com/Property/faisalabad_eden_orchard_brand_new_vip_luxury_designer_house-52966750-11162-1.html,"Phone Available, WhatsApp Available, Email Available",Drawning Store 2 Kitchen Store Big,Added: 1 month ago,house-1001.html
"New Brand Double Storey House 5 Marla Stylish House Eden Orchard Sargodha Road Ideal Location, Security Gate Carpet Road Commercial Market Jama Masjid Grand",PKR 2.4 Crore,"Eden Orchard, Faisalabad",Faisalabad,3,4,5 Marla,N/A,https://www.zameen.com/Property/faisalabad_eden_orchard_new_brand_double_storey_house_5_marla_stylish_house_eden_orchard_sargodha_road_ideal_location_security_gate_carpet_road_commercial_market_jama_masjid_grand-52950933-11162-1.html,"Phone Available, WhatsApp Available, Email Available",5 marla stylish house brand new dou,Added: 1 month ago,house-1002.html
7 Marla Luxury House Available For Sale,PKR 4 Crore,"Divine Enclave, Canal Road",Canal Road,4,5,7 Marla,N/A,https://www.zameen.com/Property/canal_road_divine_enclave_7_marla_luxury_house_available_for_sale-52387030-21698-1.html,"Phone Available, WhatsApp Available, Email Available","7 Marla Designer ,Luxurious House A",Added: 1 month ago,house-1003.html
3.5 Marla Brand New House For Sale,PKR 2 Crore,"Gulistan Colony - Block G, Gulistan Colony No 1",Gulistan Colony No 1,3,3,3.5 Marla,Titanium,https://www.zameen.com/Property/gulistan_colony_no_1_gulistan_colony_-_block_g_3_5_marla_brand_new_house_for_sale-52950225-4952-1.html,"Phone Available, WhatsApp Available, Email Available","Prime Location
 Underground Sewerag",Added: 1 month ago,house-1004.html
3.25 Marla Like Brand New East Open House For Sale,PKR 1.3 Crore,"Ghalib City, Faisalabad",Faisalabad,3,4,3 Marla,N/A,https://www.zameen.com/Property/faisalabad_ghalib_city_3_25_marla_like_brand_new_east_open_house_for_sale-52949722-10165-1.html,"Phone Available, WhatsApp Available, Email Available","LUXURY HOME SERIES
3.26 Mala east o",Added: 1 month ago,house-1005.html
7 Marla Double Storey House Eden Orchard Sargodha Road Ideal Location,PKR 2.75 Crore,"Eden Orchard, Faisalabad",Faisalabad,5,6,7 Marla,N/A,https://www.zameen.com/Property/faisalabad_eden_orchard_7_marla_double_storey_house_eden_orchard_sargodha_road_ideal_location-52564946-11162-1.html,"Phone Available, WhatsApp Available, Email Available",7 Marla Double Storey House Eden Or,Added: 1 month ago,house-1006.html
9 Marla Double Storey House Khyabin Garden Sargodha Road Ideal Location,PKR 4 Crore,"Khayaban Gardens, Faisalabad",Faisalabad,6,6,9 Marla,N/A,https://www.zameen.com/Property/faisalabad_khayaban_gardens_9_marla_double_storey_house_khyabin_garden_sargodha_road_ideal_location-52572483-4981-1.html,"Phone Available, WhatsApp Available, Email Available",9 Marla double story house Khayban,Added: 1 month ago,house-1007.html
5 Marla Brand New House For Sale In Eden Orchard Sargodha Road Lasani Pulli,PKR 2.25 Crore,"Eden Orchard, Faisalabad",Faisalabad,4,5,5 Marla,N/A,https://www.zameen.com/Property/faisalabad_eden_orchard_5_marla_brand_new_house_for_sale_in_eden_orchard_sargodha_road_lasani_pulli-52581718-11162-1.html,"Phone Available, WhatsApp Available, Email Available",5 Marla brand new double story hous,Added: 1 month ago,house-1008.html
6 Marla Double Storey House Available In Muslim Park Muslim Town Sargodha Road,PKR 1.9 Crore,"Muslim Town, Faisalabad",Faisalabad,4,5,6 Marla,N/A,https://www.zameen.com/Property/faisalabad_muslim_town_6_marla_double_storey_house_available_in_muslim_park_muslim_town_sargodha_road-52615364-1156-1.html,"Phone Available, WhatsApp Available, Email Available",4 Bedroom With Attached Bath Room,Added: 1 month ago,house-1009.html
